"seq","stdDay","gubun","gubunCn","gubunEn","deathCnt","incDec","isolClearCnt","qurRate","defCnt","isolIngCnt","overFlowCnt","localOccCnt","createDt","updateDt"
1,"2020년 3월 1일 16시",합계,"","",18,586,,"",,,,,"2020-03-02 19:27:57.57",""
2,"2020년 3월 1일 16시",서울,"","",,10,,"",,,,,"2020-03-02 19:27:57.57",""
3,"2020년 3월 1일 16시",부산,"","",,3,,"",,,,,"2020-03-02 19:27:57.57",""
4,"2020년 3월 1일 16시",대구,"","",9,469,,"",,,,,"2020-03-02 19:27:57.57",""
5,"2020년 3월 1일 16시",인천,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
6,"2020년 3월 1일 16시",광주,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
7,"2020년 3월 1일 16시",대전,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
8,"2020년 3월 1일 16시",울산,"","",,3,,"",,,,,"2020-03-02 19:27:57.57",""
9,"2020년 3월 1일 16시",세종,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
10,"2020년 3월 1일 16시",경기,"","",1,7,,"",,,,,"2020-03-02 19:27:57.57",""
11,"2020년 3월 1일 16시",강원,"","",,8,,"",,,,,"2020-03-02 19:27:57.57",""
12,"2020년 3월 1일 16시",충북,"","",,1,,"",,,,,"2020-03-02 19:27:57.57",""
13,"2020년 3월 1일 16시",충남,"","",,13,,"",,,,,"2020-03-02 19:27:57.57",""
14,"2020년 3월 1일 16시",전북,"","",,1,,"",,,,,"2020-03-02 19:27:57.57",""
15,"2020년 3월 1일 16시",전남,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
16,"2020년 3월 1일 16시",경북,"","",8,67,,"",,,,,"2020-03-02 19:27:57.57",""
17,"2020년 3월 1일 16시",경남,"","",,4,,"",,,,,"2020-03-02 19:27:57.57",""
18,"2020년 3월 1일 16시",제주,"","",,,,"",,,,,"2020-03-02 19:27:57.57",""
19,"2020년 3월 1일 16시",검역,"","",,,,"",,,,,"2020-03-02 19:27:57.57","2020-03-03 20:04:50.50"
20,"2020년 3월 4일 00시",합계,"","",32,516,,"10.3",5328,,,,"2020-03-04 19:44:27.27",""
21,"2020년 3월 4일 00시",서울,"","",,1,,"1",99,,,,"2020-03-04 19:44:27.27",""
22,"2020년 3월 4일 00시",부산,"","",1,3,,"2.7",93,,,,"2020-03-04 19:44:27.27",""
23,"2020년 3월 4일 00시",대구,"","",24,405,,"164.4",4006,,,,"2020-03-04 19:44:27.27",""
24,"2020년 3월 4일 00시",인천,"","",,2,,"0.3",9,,,,"2020-03-04 19:44:27.27",""
25,"2020년 3월 4일 00시",광주,"","",,2,,"0.9",13,,,,"2020-03-04 19:44:27.27",""
26,"2020년 3월 4일 00시",대전,"","",,1,,"1",15,,,,"2020-03-04 19:44:27.27",""
27,"2020년 3월 4일 00시",울산,"","",,3,,"2",23,,,,"2020-03-04 19:44:27.27",""
28,"2020년 3월 4일 00시",세종,"","",,,,"0.3",1,,,,"2020-03-04 19:44:27.27",""
29,"2020년 3월 4일 00시",경기,"","",1,7,,"0.8",101,,,,"2020-03-04 19:44:27.27",""
30,"2020년 3월 4일 00시",강원,"","",,1,,"1.4",21,,,,"2020-03-04 19:44:27.27",""
31,"2020년 3월 4일 00시",충북,"","",,,,"0.7",11,,,,"2020-03-04 19:44:27.27",""
32,"2020년 3월 4일 00시",충남,"","",,1,,"3.9",82,,,,"2020-03-04 19:44:27.27",""
33,"2020년 3월 4일 00시",전북,"","",,,,"0.4",7,,,,"2020-03-04 19:44:27.27",""
34,"2020년 3월 4일 00시",전남,"","",,,,"0.3",5,,,,"2020-03-04 19:44:27.27",""
35,"2020년 3월 4일 00시",경북,"","",6,89,,"29.1",774,,,,"2020-03-04 19:44:27.27",""
36,"2020년 3월 4일 00시",경남,"","",,1,,"1.9",65,,,,"2020-03-04 19:44:27.27",""
37,"2020년 3월 4일 00시",제주,"","",,,,"0.4",3,,,,"2020-03-04 19:44:27.27",""
38,"2020년 3월 5일 00시",합계,"","",35,438,,"11.1",5766,,,,"2020-03-05 15:29:39.39",""
39,"2020년 3월 5일 00시",서울,"","",,4,,"1.1",103,,,,"2020-03-05 15:29:39.39","2020-03-05 21:05:30.30"
40,"2020년 3월 5일 00시",부산,"","",1,-1,,"2.7",92,,,,"2020-03-05 15:29:39.39",""
41,"2020년 3월 5일 00시",대구,"","",27,321,,"177.6",4327,,,,"2020-03-05 15:29:39.39",""
42,"2020년 3월 5일 00시",인천,"","",,,,"0.3",9,,,,"2020-03-05 15:29:39.39",""
43,"2020년 3월 5일 00시",광주,"","",,1,,"1.0",14,,,,"2020-03-05 15:29:39.39",""
44,"2020년 3월 5일 00시",대전,"","",,1,,"1.1",16,,,,"2020-03-05 15:29:39.39",""
45,"2020년 3월 5일 00시",울산,"","",,,,"2.0",23,,,,"2020-03-05 15:29:39.39",""
46,"2020년 3월 5일 00시",세종,"","",,,,"0.3",1,,,,"2020-03-05 15:29:39.39",""
47,"2020년 3월 5일 00시",경기,"","",1,9,,"0.8",110,,,,"2020-03-05 15:29:39.39",""
48,"2020년 3월 5일 00시",강원,"","",,2,,"1.5",23,,,,"2020-03-05 15:29:39.39",""
49,"2020년 3월 5일 00시",충북,"","",,1,,"0.8",12,,,,"2020-03-05 15:29:39.39",""
50,"2020년 3월 5일 00시",충남,"","",,4,,"4.1",86,,,,"2020-03-05 15:29:39.39",""
51,"2020년 3월 5일 00시",전북,"","",,,,"0.4",7,,,,"2020-03-05 15:29:39.39",""
52,"2020년 3월 5일 00시",전남,"","",,-1,,"0.2",4,,,,"2020-03-05 15:29:39.39",""
53,"2020년 3월 5일 00시",경북,"","",6,87,,"32.3",861,,,,"2020-03-05 15:29:39.39",""
54,"2020년 3월 5일 00시",경남,"","",,9,,"2.2",74,,,,"2020-03-05 15:29:39.39",""
55,"2020년 3월 5일 00시",제주,"","",,1,,"0.6",4,,,,"2020-03-05 15:29:39.39",""
56,"2020년 3월 6일 00시",합계,"","",42,518,,"12.1",6284,,,,"2020-03-06 15:09:04.04",""
57,"2020년 3월 6일 00시",서울,"","",,2,,"1.1",105,,,,"2020-03-06 15:09:04.04",""
58,"2020년 3월 6일 00시",부산,"","",1,3,,"2.8",95,,,,"2020-03-06 15:09:04.04",""
59,"2020년 3월 6일 00시",대구,"","",30,367,,"192.7",4694,,,,"2020-03-06 15:09:04.04",""
