카테고리: 모든 카테고리

주,중고거래: (대한민국),당근마켓: (대한민국),중고나라: (대한민국),직거래: (대한민국),중고차: (대한민국)
2020-01-05,7,22,81,16,66
2020-01-12,7,24,66,18,76
2020-01-19,9,19,84,18,93
2020-01-26,7,30,81,15,79
2020-02-02,6,29,77,13,83
2020-02-09,7,29,84,21,88
2020-02-16,5,30,87,17,81
2020-02-23,8,29,99,15,63
2020-03-01,7,39,90,12,60
2020-03-08,11,34,88,17,65
2020-03-15,8,34,83,14,77
2020-03-22,9,34,79,14,63
2020-03-29,8,40,75,15,72
2020-04-05,7,39,79,10,68
2020-04-12,7,35,85,15,69
2020-04-19,9,39,80,16,71
2020-04-26,8,58,72,14,69
2020-05-03,7,60,79,16,80
2020-05-10,8,52,76,11,75
2020-05-17,11,56,77,11,67
2020-05-24,8,55,75,16,74
2020-05-31,6,53,73,14,78
2020-06-07,9,58,70,12,78
2020-06-14,7,64,62,13,72
2020-06-21,8,55,72,13,67
2020-06-28,11,60,73,16,71
2020-07-05,7,61,70,15,73
2020-07-12,9,67,73,13,79
2020-07-19,8,63,70,12,69
2020-07-26,8,73,67,12,80
2020-08-02,8,67,64,16,78
2020-08-09,7,68,60,12,75
2020-08-16,9,73,75,13,75
2020-08-23,7,81,66,14,63
2020-08-30,10,79,71,12,67
2020-09-06,12,86,68,13,72
2020-09-13,7,84,59,12,75
2020-09-20,8,82,64,11,65
2020-09-27,7,98,62,14,70
2020-10-04,11,92,65,13,73
2020-10-11,6,90,59,16,81
2020-10-18,10,91,55,16,84
2020-10-25,8,87,62,16,75
2020-11-01,9,83,59,15,77
2020-11-08,7,80,60,16,72
2020-11-15,6,96,52,15,77
2020-11-22,5,84,59,14,75
2020-11-29,7,78,60,11,71
2020-12-06,4,82,59,14,79
2020-12-13,8,74,57,11,70
2020-12-20,8,82,54,19,66
2020-12-27,7,78,64,16,68
2021-01-03,7,84,60,14,64
2021-01-10,9,96,60,15,74
2021-01-17,13,82,68,17,80
2021-01-24,9,76,58,17,80
2021-01-31,6,85,57,20,82
2021-02-07,7,92,61,12,80
2021-02-14,10,97,57,12,93
2021-02-21,8,84,56,12,73
2021-02-28,7,81,54,15,68
2021-03-07,6,74,49,11,71
2021-03-14,7,78,49,12,67
2021-03-21,9,70,48,10,69
2021-03-28,8,76,39,10,69
2021-04-04,6,75,44,16,64
2021-04-11,7,76,42,9,67
2021-04-18,9,75,42,14,72
2021-04-25,6,80,44,11,69
2021-05-02,6,68,42,14,67
2021-05-09,6,65,42,12,74
2021-05-16,8,67,39,12,63
2021-05-23,7,65,45,12,66
2021-05-30,5,69,42,10,63
2021-06-06,8,70,41,10,67
2021-06-13,6,65,42,11,59
2021-06-20,5,70,42,12,79
2021-06-27,9,63,34,9,67
2021-07-04,7,71,42,11,75
2021-07-11,7,67,44,10,63
2021-07-18,8,69,35,11,70
2021-07-25,7,58,37,8,66
2021-08-01,7,63,41,8,66
2021-08-08,7,66,40,11,78
2021-08-15,7,67,40,10,81
2021-08-22,6,68,42,13,69
2021-08-29,8,61,34,14,68
2021-09-05,7,63,41,14,70
2021-09-12,7,55,37,11,67
2021-09-19,8,71,43,15,79
2021-09-26,9,61,36,13,82
2021-10-03,7,67,36,10,72
2021-10-10,7,65,42,14,72
2021-10-17,6,55,28,14,59
2021-10-24,7,58,41,13,71
2021-10-31,8,66,41,11,66
2021-11-07,7,67,36,9,65
2021-11-14,8,62,33,7,58
2021-11-21,8,62,38,12,60
2021-11-28,9,68,32,11,64
2021-12-05,7,68,37,10,65
2021-12-12,6,65,37,13,57
2021-12-19,5,72,35,10,62
2021-12-26,7,66,34,14,70
2022-01-02,10,70,42,11,69
2022-01-09,7,69,40,13,70
2022-01-16,8,65,43,14,71
2022-01-23,7,70,37,11,69
2022-01-30,7,81,49,14,84
2022-02-06,8,71,40,9,73
2022-02-13,7,84,41,11,73
2022-02-20,7,74,38,12,67
2022-02-27,10,66,41,10,63
2022-03-06,6,72,40,11,65
2022-03-13,12,82,40,11,74
2022-03-20,9,77,36,8,72
2022-03-27,8,78,38,12,68
2022-04-03,9,68,34,12,69
2022-04-10,8,72,37,7,61
2022-04-17,10,80,36,10,73
2022-04-24,8,58,32,9,69
2022-05-01,9,69,36,10,64
2022-05-08,9,70,41,9,60
2022-05-15,11,70,37,12,66
2022-05-22,5,62,34,10,68
2022-05-29,6,100,38,8,69
2022-06-05,8,67,31,11,62
2022-06-12,13,64,38,7,70
2022-06-19,7,69,35,12,73
2022-06-26,7,72,36,7,70
2022-07-03,8,72,41,10,60
